Member_number,Date,productId,items,productName,price,Category,order_id,gross_sales
2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets,137,2.4
4760,2015-02-22,25,3,canned beer,1.1,Beverages,138,3.3000000000000003
3649,2015-01-16,25,3,canned beer,1.1,Beverages,139,3.3000000000000003
1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food,140,5.5
3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food,141,2.4000000000000004
4106,2015-08-25,2,3,whole milk,1.8,Dairy,142,5.4
4338,2015-06-24,2,2,whole milk,1.8,Dairy,143,3.6
4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food,144,3.0
1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food,145,5.5
3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food,146,16.5
3928,2015-07-18,16,3,butter milk,6.1,Dairy,147,18.299999999999997
3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food,148,36.900000000000006
4699,2015-02-08,46,1,pasta,3.1,Pantry Staples,149,3.1
4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food,150,0.8
3028,2015-06-09,19,2,sausage,3.1,Fresh Food,151,6.2
2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets,152,1.2
4417,2015-02-25,40,3,grapes,9.4,Fresh Food,153,28.200000000000003
3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food,154,5.4
2288,2015-05-31,27,1,coffee,8.5,Beverages,155,8.5
2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets,156,7.199999999999999
4554,2015-08-27,2,3,whole milk,1.8,Dairy,157,5.4
3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food,158,7.8
2999,2015-04-17,8,1,beef,19.5,Fresh Food,159,19.5
2614,2015-06-25,2,3,whole milk,1.8,Dairy,160,5.4
4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food,161,16.5
3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food,162,23.4
2587,2015-05-07,25,2,canned beer,1.1,Beverages,163,2.2
3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food,164,13.0
1923,2015-02-14,49,2,beverages,1.1,Beverages,165,2.2
4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food,166,12.3
1514,2015-08-24,2,2,whole milk,1.8,Dairy,167,3.6
3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food,168,6.5
1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food,169,0.8
2794,2015-07-18,29,2,ham,15.2,Fresh Food,170,30.4
2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food,171,1.6
2238,2015-03-09,45,2,curd,9.8,Dairy,172,19.6
3795,2015-01-17,50,3,bottled beer,1.8,Beverages,173,5.4
3724,2015-11-26,45,2,curd,9.8,Dairy,174,19.6
1152,2015-03-05,2,3,whole milk,1.8,Dairy,175,5.4
4559,2015-03-16,2,1,whole milk,1.8,Dairy,176,1.8
3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets,177,3.4499999999999997
1709,2015-04-22,19,2,sausage,3.1,Fresh Food,178,6.2
2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food,179,0.8
2206,2015-10-17,29,1,ham,15.2,Fresh Food,180,15.2
1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food,181,0.8
3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food,182,2.4000000000000004
3296,2015-08-17,38,2,soda,0.8,Beverages,183,1.6
2257,2015-02-05,37,1,herbs,6.5,Fresh Food,184,6.5
4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food,185,5.5
2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets,186,1.2
2449,2015-07-08,45,3,curd,9.8,Dairy,187,29.400000000000002
4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food,188,16.5
2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food,189,1.6
4187,2015-05-09,52,3,dog food,12.6,Pet Care,190,37.8
1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets,191,5.2
3427,2015-04-28,45,2,curd,9.8,Dairy,192,19.6
1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food,193,5.5
3390,2015-11-14,38,1,soda,0.8,Beverages,194,0.8
4787,2015-08-01,8,3,beef,19.5,Fresh Food,195,58.5
3310,2015-01-17,25,2,canned beer,1.1,Beverages,196,2.2
1782,2015-10-10,23,3,pork,7.2,Fresh Food,197,21.6
3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food,198,16.5
2760,2015-01-07,19,2,sausage,3.1,Fresh Food,199,6.2
4249,2015-09-13,25,1,canned beer,1.1,Beverages,200,1.1
2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets,201,18.8
4090,2015-02-26,45,2,curd,9.8,Dairy,202,19.6
3060,2015-07-05,25,1,canned beer,1.1,Beverages,203,1.1
3768,2015-10-07,2,2,whole milk,1.8,Dairy,204,3.6
1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets,205,2.4
1360,2015-10-23,23,3,pork,7.2,Fresh Food,206,21.6
1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food,207,3.0
2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene,208,10.5
2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets,209,1.2
2448,2015-07-12,11,1,butter,3.2,Dairy,210,3.2
1222,2015-09-24,54,1,condensed milk,3.5,Dairy,211,3.5
2943,2015-06-20,19,1,sausage,3.1,Fresh Food,212,3.1
2270,2015-08-11,2,3,whole milk,1.8,Dairy,213,5.4
3812,2015-07-21,19,1,sausage,3.1,Fresh Food,214,3.1
1482,2015-11-22,49,2,beverages,1.1,Beverages,215,2.2
4720,2015-02-22,49,2,beverages,1.1,Beverages,216,2.2
1344,2015-09-04,17,2,bottled water,0.5,Beverages,217,1.0
2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal,218,9.600000000000001
4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene,219,11.8
4487,2015-07-10,19,1,sausage,3.1,Fresh Food,220,3.1
3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal,221,3.2
2443,2015-11-15,19,3,sausage,3.1,Fresh Food,222,9.3
2749,2015-01-27,28,2,misc. beverages,1.2,Beverages,223,2.4
4389,2015-04-13,56,2,white wine,14.2,Beverages,224,28.4
1674,2015-12-04,19,1,sausage,3.1,Fresh Food,225,3.1
4262,2015-10-16,57,2,meat,8.5,Fresh Food,226,17.0
2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food,227,11.0
4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food,228,5.4
2460,2015-09-28,25,3,canned beer,1.1,Beverages,229,3.3000000000000003
4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food,230,23.4
2267,2015-07-03,57,3,meat,8.5,Fresh Food,231,25.5
4891,2015-09-05,2,1,whole milk,1.8,Dairy,232,1.8
3962,2015-09-20,19,3,sausage,3.1,Fresh Food,233,9.3
4964,2015-07-18,9,2,frankfurter,5.5,Fresh Food,234,11.0
2914,2015-11-30,57,1,meat,8.5,Fresh Food,235,8.5
2808,2015-05-05,22,2,root vegetables,1.8,Fresh Food,236,3.6
1085,2015-08-15,22,2,root vegetables,1.8,Fresh Food,237,3.6
3808,2015-08-18,2,2,whole milk,1.8,Dairy,238,3.6
4149,2015-01-07,7,3,citrus fruit,1.5,Fresh Food,239,4.5
2331,2015-06-05,7,3,citrus fruit,1.5,Fresh Food,240,4.5
4475,2015-04-03,4,1,other vegetables,0.8,Fresh Food,241,0.8
2761,2015-04-25,7,1,citrus fruit,1.5,Fresh Food,242,1.5
2620,2015-12-14,19,3,sausage,3.1,Fresh Food,243,9.3
3206,2015-10-13,9,2,frankfurter,5.5,Fresh Food,244,11.0
1226,2015-04-13,59,1,hard cheese,4.5,Dairy,245,4.5
1395,2015-03-07,60,3,cream cheese,6.3,Dairy,246,18.9
2465,2015-06-07,30,3,turkey,12.5,Fresh Food,247,37.5
3572,2015-07-09,23,3,pork,7.2,Fresh Food,248,21.6
4387,2015-05-08,2,2,whole milk,1.8,Dairy,249,3.6
1555,2015-03-27,5,3,rolls/buns,1.2,Bakery & Sweets,250,3.5999999999999996
1181,2015-11-16,19,3,sausage,3.1,Fresh Food,251,9.3
2814,2015-05-11,58,3,ice cream,1.8,Frozen & Processed Food,252,5.4
2794,2015-09-16,61,3,liquor,8.5,Beverages,253,25.5
2912,2015-01-28,3,1,pip fruit,3.0,Fresh Food,254,3.0
4667,2015-01-12,22,1,root vegetables,1.8,Fresh Food,255,1.8
2235,2015-10-25,38,3,soda,0.8,Beverages,256,2.4000000000000004
2353,2015-05-02,38,2,soda,0.8,Beverages,257,1.6
3449,2015-03-08,19,1,sausage,3.1,Fresh Food,258,3.1
1058,2015-11-10,22,3,root vegetables,1.8,Fresh Food,259,5.4
1027,2015-05-17,23,1,pork,7.2,Fresh Food,260,7.2
3302,2015-05-22,23,1,pork,7.2,Fresh Food,261,7.2
2229,2015-05-30,14,2,chocolate,11.5,Bakery & Sweets,262,23.0
2188,2015-08-15,12,3,fruit/vegetable juice,2.1,Beverages,263,6.300000000000001
1547,2015-04-18,62,3,pickled vegetables,2.7,Fresh Food,264,8.100000000000001
1649,2015-06-30,17,2,bottled water,0.5,Beverages,265,1.0
3254,2015-09-10,9,2,frankfurter,5.5,Fresh Food,266,11.0
2818,2015-11-07,1,3,tropical fruit,7.8,Fresh Food,267,23.4
2703,2015-05-08,25,3,canned beer,1.1,Beverages,268,3.3000000000000003
3332,2015-01-31,22,2,root vegetables,1.8,Fresh Food,269,3.6
2473,2015-07-01,57,1,meat,8.5,Fresh Food,270,8.5
2810,2015-12-30,9,1,frankfurter,5.5,Fresh Food,271,5.5
1033,2015-04-22,1,2,tropical fruit,7.8,Fresh Food,272,15.6
4222,2015-05-27,1,1,tropical fruit,7.8,Fresh Food,273,7.8
3679,2015-09-21,7,2,citrus fruit,1.5,Fresh Food,274,3.0
2212,2015-08-27,21,1,hamburger meat,12.3,Fresh Food,275,12.3
1507,2015-06-22,10,1,chicken,7.2,Fresh Food,276,7.2
2870,2015-01-21,10,3,chicken,7.2,Fresh Food,277,21.6
3429,2015-04-26,9,3,frankfurter,5.5,Fresh Food,278,16.5
4148,2015-04-09,25,1,canned beer,1.1,Beverages,279,1.1
2970,2015-12-30,30,1,turkey,12.5,Fresh Food,280,12.5
2013,2015-08-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,281,10.5
3967,2015-05-30,46,3,pasta,3.1,Pantry Staples,282,9.3
2885,2015-05-15,7,3,citrus fruit,1.5,Fresh Food,283,4.5
3935,2015-07-02,19,2,sausage,3.1,Fresh Food,284,6.2
3283,2015-05-01,2,1,whole milk,1.8,Dairy,285,1.8
3268,2015-11-06,25,3,canned beer,1.1,Beverages,286,3.3000000000000003
3677,2015-04-30,7,1,citrus fruit,1.5,Fresh Food,287,1.5
3495,2015-06-27,63,2,liquor (appetizer),11.2,Beverages,288,22.4
1410,2015-10-04,7,2,citrus fruit,1.5,Fresh Food,289,3.0
2440,2015-06-06,19,3,sausage,3.1,Fresh Food,290,9.3
4088,2015-01-13,10,2,chicken,7.2,Fresh Food,291,14.4
2469,2015-09-23,21,1,hamburger meat,12.3,Fresh Food,292,12.3
4229,2015-03-06,19,3,sausage,3.1,Fresh Food,293,9.3
2728,2015-08-02,8,1,beef,19.5,Fresh Food,294,19.5
4694,2015-01-25,7,1,citrus fruit,1.5,Fresh Food,295,1.5
2836,2015-12-29,64,2,UHT-milk,2.1,Dairy,296,4.2
1311,2015-02-12,65,2,candy,3.6,Bakery & Sweets,297,7.2
1760,2015-01-23,44,2,newspapers,3.2,Specialty & Seasonal,298,6.4
3656,2015-03-02,8,2,beef,19.5,Fresh Food,299,39.0
3720,2015-05-28,19,2,sausage,3.1,Fresh Food,300,6.2
2996,2015-09-26,9,3,frankfurter,5.5,Fresh Food,301,16.5
1949,2015-07-22,25,1,canned beer,1.1,Beverages,302,1.1
4498,2015-02-11,50,1,bottled beer,1.8,Beverages,303,1.8
2447,2015-12-28,66,1,onions,1.3,Fresh Food,304,1.3
1952,2015-03-23,1,1,tropical fruit,7.8,Fresh Food,305,7.8
4099,2015-01-27,17,2,bottled water,0.5,Beverages,306,1.0
1804,2015-03-12,8,1,beef,19.5,Fresh Food,307,19.5
1510,2015-05-16,19,3,sausage,3.1,Fresh Food,308,9.3
2879,2015-04-18,67,3,hair spray,5.4,Personal Care,309,16.200000000000003
4899,2015-03-12,10,1,chicken,7.2,Fresh Food,310,7.2
4326,2015-09-29,23,1,pork,7.2,Fresh Food,311,7.2
1670,2015-05-17,58,3,ice cream,1.8,Frozen & Processed Food,312,5.4
1117,2015-05-24,57,3,meat,8.5,Fresh Food,313,25.5
1346,2015-04-03,4,2,other vegetables,0.8,Fresh Food,314,1.6
1178,2015-11-15,17,3,bottled water,0.5,Beverages,315,1.5
1649,2015-06-25,1,2,tropical fruit,7.8,Fresh Food,316,15.6
4651,2015-06-21,68,2,photo/film,11.9,Household & Hygiene,317,23.8
4243,2015-04-02,19,2,sausage,3.1,Fresh Food,318,6.2
4429,2015-07-21,40,2,grapes,9.4,Fresh Food,319,18.8
4645,2015-07-25,69,2,domestic eggs,1.25,Fresh Food,320,2.5
4019,2015-07-24,5,1,rolls/buns,1.2,Bakery & Sweets,321,1.2
4459,2015-04-26,1,3,tropical fruit,7.8,Fresh Food,322,23.4
3006,2015-12-27,10,2,chicken,7.2,Fresh Food,323,14.4
1834,2015-09-17,9,3,frankfurter,5.5,Fresh Food,324,16.5
3236,2015-07-04,26,3,berries,10.8,Fresh Food,325,32.400000000000006
1765,2015-03-11,70,2,margarine,3.5,Pantry Staples,326,7.0
3855,2015-03-09,1,1,tropical fruit,7.8,Fresh Food,327,7.8
4392,2015-11-28,29,2,ham,15.2,Fresh Food,328,30.4
3330,2015-07-26,21,1,hamburger meat,12.3,Fresh Food,329,12.3
1723,2015-09-02,18,3,yogurt,2.2,Dairy,330,6.6000000000000005
4110,2015-03-30,38,1,soda,0.8,Beverages,331,0.8
2600,2015-01-28,18,1,yogurt,2.2,Dairy,332,2.2
2946,2015-10-07,38,1,soda,0.8,Beverages,333,0.8
2426,2015-09-08,17,3,bottled water,0.5,Beverages,334,1.5
4170,2015-05-03,19,3,sausage,3.1,Fresh Food,335,9.3
1109,2015-04-06,7,1,citrus fruit,1.5,Fresh Food,336,1.5
3429,2015-01-04,71,1,shopping bags,5.12,Household & Hygiene,337,5.12
2055,2015-02-04,44,2,newspapers,3.2,Specialty & Seasonal,338,6.4
2480,2015-09-20,9,1,frankfurter,5.5,Fresh Food,339,5.5
2441,2015-05-30,19,2,sausage,3.1,Fresh Food,340,6.2
1054,2015-10-04,9,1,frankfurter,5.5,Fresh Food,341,5.5
4818,2015-01-11,72,2,salt,0.7,Pantry Staples,342,1.4
3379,2015-01-21,73,3,oil,3.4,Pantry Staples,343,10.2
3939,2015-02-10,45,1,curd,9.8,Dairy,344,9.8
1367,2015-08-05,4,1,other vegetables,0.8,Fresh Food,345,0.8
1043,2015-01-10,7,1,citrus fruit,1.5,Fresh Food,346,1.5
2231,2015-10-17,9,1,frankfurter,5.5,Fresh Food,347,5.5
3235,2015-12-28,22,2,root vegetables,1.8,Fresh Food,348,3.6
4554,2015-07-16,1,1,tropical fruit,7.8,Fresh Food,349,7.8
3245,2015-01-24,8,3,beef,19.5,Fresh Food,350,58.5
2996,2015-05-19,26,3,berries,10.8,Fresh Food,351,32.400000000000006
2507,2015-01-05,25,1,canned beer,1.1,Beverages,352,1.1
4186,2015-10-25,74,3,whipped/sour cream,5.5,Dairy,353,16.5
3929,2015-04-28,22,1,root vegetables,1.8,Fresh Food,354,1.8
3760,2015-11-22,2,1,whole milk,1.8,Dairy,355,1.8
4928,2015-08-18,8,3,beef,19.5,Fresh Food,356,58.5
4217,2015-12-18,75,1,frozen vegetables,2.5,Frozen & Processed Food,357,2.5
1174,2015-02-11,5,3,rolls/buns,1.2,Bakery & Sweets,358,3.5999999999999996
4103,2015-06-19,2,2,whole milk,1.8,Dairy,359,3.6
4408,2015-03-13,2,1,whole milk,1.8,Dairy,360,1.8
2588,2015-12-28,7,2,citrus fruit,1.5,Fresh Food,361,3.0
2598,2015-11-11,24,3,pastry,3.1,Bakery & Sweets,362,9.3
1518,2015-12-11,9,2,frankfurter,5.5,Fresh Food,363,11.0
2702,2015-04-08,1,2,tropical fruit,7.8,Fresh Food,364,15.6
1001,2015-01-20,9,3,frankfurter,5.5,Fresh Food,365,16.5
2270,2015-09-30,26,2,berries,10.8,Fresh Food,366,21.6
2838,2015-11-10,5,2,rolls/buns,1.2,Bakery & Sweets,367,2.4
1683,2015-05-26,22,3,root vegetables,1.8,Fresh Food,368,5.4
4040,2015-04-03,18,2,yogurt,2.2,Dairy,369,4.4
3897,2015-08-23,4,3,other vegetables,0.8,Fresh Food,370,2.4000000000000004
2200,2015-03-11,26,2,berries,10.8,Fresh Food,371,21.6
4073,2015-01-29,26,3,berries,10.8,Fresh Food,372,32.400000000000006
3700,2015-04-19,4,3,other vegetables,0.8,Fresh Food,373,2.4000000000000004
3973,2015-06-10,5,2,rolls/buns,1.2,Bakery & Sweets,374,2.4
2715,2015-07-06,29,2,ham,15.2,Fresh Food,375,30.4
3967,2015-11-23,2,2,whole milk,1.8,Dairy,376,3.6
4002,2015-09-03,1,1,tropical fruit,7.8,Fresh Food,377,7.8
2962,2015-03-01,17,1,bottled water,0.5,Beverages,378,0.5
4340,2015-12-25,16,1,butter milk,6.1,Dairy,379,6.1
